train_domains,test_domains,fraction,method,avg_acc,worst_acc,train_loss,val_loss
"['Clipart', 'Real World']",['Art'],0.1,ERM,0.2669962917181706,0.2669962917181706,8.216454579279972,4.128730891808886
"['Clipart', 'Real World']",['Art'],0.1,ERM+NC,0.30325504738360115,0.30325504738360115,8.21043036534236,4.123877298404613
"['Clipart', 'Real World']",['Art'],0.1,CORAL,0.3110836423568191,0.3110836423568191,8.215956687927246,4.128046210430068
"['Clipart', 'Real World']",['Art'],0.1,CORAL+NC,0.26328800988875156,0.26328800988875156,8.226549882155199,4.129064476239519
"['Clipart', 'Real World']",['Art'],0.2,ERM,0.4622991347342398,0.4622991347342398,8.098651391488534,4.075030666739547
"['Clipart', 'Real World']",['Art'],0.2,ERM+NC,0.526988051091883,0.526988051091883,8.108824659276891,4.073228655501948
"['Clipart', 'Real World']",['Art'],0.2,CORAL,0.45900288421920066,0.45900288421920066,8.091985102053043,4.074255982199764
"['Clipart', 'Real World']",['Art'],0.2,CORAL+NC,0.4783683559950556,0.4783683559950556,8.109351334748444,4.075739191940993
"['Clipart', 'Real World']",['Art'],0.5,ERM,0.6514215080346106,0.6514215080346106,7.772938167347627,3.9260584352239443
"['Clipart', 'Real World']",['Art'],0.5,ERM+NC,0.5727235269880511,0.5727235269880511,7.789855971055872,3.9316444766339718
"['Clipart', 'Real World']",['Art'],0.5,CORAL,0.6052740008240626,0.6052740008240626,7.77467168078703,3.9296070076479164
"['Clipart', 'Real World']",['Art'],0.5,CORAL+NC,0.5764318088174701,0.5764318088174701,7.780472937752219,3.9311236462870105
"['Clipart', 'Real World']",['Art'],0.8,ERM,0.6473011948908117,0.6473011948908117,7.485581910168683,3.7947142268582827
"['Clipart', 'Real World']",['Art'],0.8,ERM+NC,0.6349402554594149,0.6349402554594149,7.493791204911691,3.7943897109784164
"['Clipart', 'Real World']",['Art'],0.8,CORAL,0.6613102595797281,0.6613102595797281,7.476488899301599,3.7869853280825434
"['Clipart', 'Real World']",['Art'],0.8,CORAL+NC,0.6353522867737948,0.6353522867737948,7.491185475278784,3.7951847450891343
"['Art', 'Real World']",['Clipart'],0.1,ERM,0.13883161512027492,0.13883161512027492,8.259753499712263,4.152710656912193
"['Art', 'Real World']",['Clipart'],0.1,ERM+NC,0.08109965635738832,0.08109965635738832,8.274570192609515,4.1544943072132225
"['Art', 'Real World']",['Clipart'],0.1,CORAL,0.09828178694158075,0.09828178694158075,8.269309725080218,4.154408702544467
"['Art', 'Real World']",['Clipart'],0.1,CORAL+NC,0.12623138602520045,0.12623138602520045,8.264684132167272,4.152090112067853
"['Art', 'Real World']",['Clipart'],0.2,ERM,0.2593356242840779,0.2593356242840779,8.191786321004232,4.133657990288489
"['Art', 'Real World']",['Clipart'],0.2,ERM+NC,0.2579610538373425,0.2579610538373425,8.200064913431804,4.133006440104761
"['Art', 'Real World']",['Clipart'],0.2,CORAL,0.30675830469644905,0.30675830469644905,8.190796788533529,4.132134682370215
"['Art', 'Real World']",['Clipart'],0.2,CORAL+NC,0.2531500572737686,0.2531500572737686,8.201127052307129,4.1293612828642505
"['Art', 'Real World']",['Clipart'],0.5,ERM,0.4263459335624284,0.4263459335624284,7.984809772388355,4.0655303387024695
"['Art', 'Real World']",['Clipart'],0.5,ERM+NC,0.4348224513172967,0.4348224513172967,7.989808791392559,4.064307711405716
"['Art', 'Real World']",['Clipart'],0.5,CORAL,0.4235967926689576,0.4235967926689576,7.991694089528677,4.065653376235176
"['Art', 'Real World']",['Clipart'],0.5,CORAL+NC,0.4235967926689576,0.4235967926689576,8.007826031865301,4.066715527673221
"['Art', 'Real World']",['Clipart'],0.8,ERM,0.4620847651775487,0.4620847651775487,7.790878486633301,4.003385373734936
"['Art', 'Real World']",['Clipart'],0.8,ERM+NC,0.44627720504009166,0.44627720504009166,7.79447782834371,4.003513942469437
"['Art', 'Real World']",['Clipart'],0.8,CORAL,0.4627720504009164,0.4627720504009164,7.789569775263469,4.003415132634009
"['Art', 'Real World']",['Clipart'],0.8,CORAL+NC,0.4286368843069874,0.4286368843069874,7.794643259048462,4.003412316509129
"['Art', 'Clipart']",['Real World'],0.1,ERM,0.12921735138857013,0.12921735138857013,8.27275276184082,4.147600300464713
"['Art', 'Clipart']",['Real World'],0.1,ERM+NC,0.2084002754188662,0.2084002754188662,8.283742904663086,4.145027672721892
"['Art', 'Clipart']",['Real World'],0.1,CORAL,0.1347257287124168,0.1347257287124168,8.271100725446429,4.148499876691684
"['Art', 'Clipart']",['Real World'],0.1,CORAL+NC,0.1351847601560707,0.1351847601560707,8.279806137084961,4.145332984539082
"['Art', 'Clipart']",['Real World'],0.2,ERM,0.3224695891668579,0.3224695891668579,8.214327748616537,4.115435480332741
"['Art', 'Clipart']",['Real World'],0.2,ERM+NC,0.32361716777599264,0.32361716777599264,8.229103978474935,4.115987257424478
