train_domains,test_domains,fraction,method,avg_acc,worst_acc,train_loss,val_loss
"['art_painting', 'cartoon', 'sketch']",['photo'],0.1,ERM,0.6568862275449102,0.6568862275449102,5.7094558874766035,1.9061957940370022
"['art_painting', 'cartoon', 'sketch']",['photo'],0.1,ERM+NC,0.49041916167664673,0.49041916167664673,5.734242757161458,1.9113671428429153
"['art_painting', 'cartoon', 'sketch']",['photo'],0.1,CORAL,0.5359281437125748,0.5359281437125748,5.7091976801554365,1.9170170859662359
"['art_painting', 'cartoon', 'sketch']",['photo'],0.1,CORAL+NC,0.47005988023952094,0.47005988023952094,5.729837973912557,1.9121607896096693
"['art_painting', 'cartoon', 'sketch']",['photo'],0.2,ERM,0.6748502994011976,0.6748502994011976,5.600382924079895,1.881449195867527
"['art_painting', 'cartoon', 'sketch']",['photo'],0.2,ERM+NC,0.670059880239521,0.670059880239521,5.621029655138652,1.8851649080207962
"['art_painting', 'cartoon', 'sketch']",['photo'],0.2,CORAL,0.6922155688622754,0.6922155688622754,5.591415286064148,1.8836886148966716
"['art_painting', 'cartoon', 'sketch']",['photo'],0.2,CORAL+NC,0.667065868263473,0.667065868263473,5.619867046674092,1.8781918595650953
"['art_painting', 'cartoon', 'sketch']",['photo'],0.5,ERM,0.7970059880239521,0.7970059880239521,5.244895860552788,1.7732250229327264
"['art_painting', 'cartoon', 'sketch']",['photo'],0.5,ERM+NC,0.9263473053892216,0.9263473053892216,5.264965280890465,1.770453597685534
"['art_painting', 'cartoon', 'sketch']",['photo'],0.5,CORAL,0.8772455089820359,0.8772455089820359,5.221997395157814,1.7652266245402262
"['art_painting', 'cartoon', 'sketch']",['photo'],0.5,CORAL+NC,0.795808383233533,0.795808383233533,5.2459816336631775,1.7780933107444625
"['art_painting', 'cartoon', 'sketch']",['photo'],0.8,ERM,0.8574850299401198,0.8574850299401198,4.899881166570327,1.6749602225012408
"['art_painting', 'cartoon', 'sketch']",['photo'],0.8,ERM+NC,0.8736526946107784,0.8736526946107784,4.937932584799972,1.673328157527718
"['art_painting', 'cartoon', 'sketch']",['photo'],0.8,CORAL,0.8461077844311378,0.8461077844311378,4.922464567072251,1.6809126689762413
"['art_painting', 'cartoon', 'sketch']",['photo'],0.8,CORAL+NC,0.9095808383233533,0.9095808383233533,4.942121430939319,1.6755172198404096
"['art_painting', 'cartoon', 'photo']",['sketch'],0.1,ERM,0.52481547467549,0.52481547467549,5.722400760650634,1.9230003297768892
"['art_painting', 'cartoon', 'photo']",['sketch'],0.1,ERM+NC,0.26393484347162127,0.26393484347162127,5.74869966506958,1.9209631251512091
"['art_painting', 'cartoon', 'photo']",['sketch'],0.1,CORAL,0.23033850852634258,0.23033850852634258,5.725613307952881,1.9288669600987987
"['art_painting', 'cartoon', 'photo']",['sketch'],0.1,CORAL+NC,0.5642657164672945,0.5642657164672945,5.740720558166504,1.9104868731264486
"['art_painting', 'cartoon', 'photo']",['sketch'],0.2,ERM,0.40799185543395267,0.40799185543395267,5.635353946685791,1.8981988670019498
"['art_painting', 'cartoon', 'photo']",['sketch'],0.2,ERM+NC,0.6889793840671927,0.6889793840671927,5.656949281692505,1.892970168156671
"['art_painting', 'cartoon', 'photo']",['sketch'],0.2,CORAL,0.7953677780605752,0.7953677780605752,5.649050188064575,1.8938193890726212
"['art_painting', 'cartoon', 'photo']",['sketch'],0.2,CORAL+NC,0.39653855942988037,0.39653855942988037,5.6483489036560055,1.9003227801382405
"['art_painting', 'cartoon', 'photo']",['sketch'],0.5,ERM,0.8449987274115551,0.8449987274115551,5.308831526682927,1.812372988039193
"['art_painting', 'cartoon', 'photo']",['sketch'],0.5,ERM+NC,0.7961313311275133,0.7961313311275133,5.324787891828096,1.814035626639844
"['art_painting', 'cartoon', 'photo']",['sketch'],0.5,CORAL,0.8241282769152456,0.8241282769152456,5.32835866854741,1.8324279521797473
"['art_painting', 'cartoon', 'photo']",['sketch'],0.5,CORAL+NC,0.8292186306948333,0.8292186306948333,5.3374289365915155,1.8183829468848232
"['art_painting', 'cartoon', 'photo']",['sketch'],0.8,ERM,0.8673962840417409,0.8673962840417409,5.034373295016405,1.7468668858372063
"['art_painting', 'cartoon', 'photo']",['sketch'],0.8,ERM+NC,0.881394756935607,0.881394756935607,5.063808348120713,1.7433595231362777
"['art_painting', 'cartoon', 'photo']",['sketch'],0.8,CORAL,0.8821583100025452,0.8821583100025452,5.028780413836968,1.7473359073079187
"['art_painting', 'cartoon', 'photo']",['sketch'],0.8,CORAL+NC,0.8981929244082464,0.8981929244082464,5.062649261660692,1.747737961951392
"['art_painting', 'cartoon']","['photo', 'sketch']",0.1,ERM,0.5613938577413765,0.459913463985747,3.807242751121521,1.911045873556564
"['art_painting', 'cartoon']","['photo', 'sketch']",0.1,ERM+NC,0.4695293556435106,0.3031305675744464,3.8277705907821655,1.9143207982209869
"['art_painting', 'cartoon']","['photo', 'sketch']",0.1,CORAL,0.3513207486782607,0.207431916518198,3.810501217842102,1.911534313475467
"['art_painting', 'cartoon']","['photo', 'sketch']",0.1,CORAL+NC,0.3527502388960943,0.34741664545685924,3.8094428380330405,1.9085265287193756
"['art_painting', 'cartoon']","['photo', 'sketch']",0.2,ERM,0.5193604900151338,0.5087808602697887,3.744913021723429,1.8885434294749723
"['art_painting', 'cartoon']","['photo', 'sketch']",0.2,ERM+NC,0.7064049300228761,0.5283787223212013,3.7541598081588745,1.88415389985188
