train_domains,test_domains,fraction,method,avg_acc,worst_acc,train_loss,val_loss
"['Caltech101', 'LabelMe', 'SUN09']",['VOC2007'],0.5,ERM+NC,0.5432464454976303,0.5432464454976303,4.386371460827914,1.5261566316911959
"['Caltech101', 'LabelMe', 'SUN09']",['VOC2007'],0.5,CORAL,0.5216232227488151,0.5216232227488151,4.34517392245206,1.5236469998743862
"['Caltech101', 'LabelMe', 'SUN09']",['VOC2007'],0.5,CORAL+NC,0.5423578199052133,0.5423578199052133,4.368465250188654,1.5280395864875396
"['Caltech101', 'LabelMe', 'SUN09']",['VOC2007'],0.8,ERM,0.5565758293838863,0.5565758293838863,4.0816121101379395,1.480818510055542
"['Caltech101', 'LabelMe', 'SUN09']",['VOC2007'],0.8,ERM+NC,0.5595379146919431,0.5595379146919431,4.125303745269775,1.4856732168468818
"['Caltech101', 'LabelMe', 'SUN09']",['VOC2007'],0.8,CORAL,0.49614928909952605,0.49614928909952605,4.063503674098423,1.4733660458388487
"['Caltech101', 'LabelMe', 'SUN09']",['VOC2007'],0.8,CORAL+NC,0.48992890995260663,0.48992890995260663,4.082133313587733,1.4748075194833403
"['Caltech101', 'LabelMe']","['SUN09', 'VOC2007']",0.1,ERM,0.440447554664102,0.4351303317535545,3.122200131416321,1.5865155467770133
"['Caltech101', 'LabelMe']","['SUN09', 'VOC2007']",0.1,ERM+NC,0.38778813996205064,0.386654478976234,3.14566969871521,1.5968309493380328
"['Caltech101', 'LabelMe']","['SUN09', 'VOC2007']",0.1,CORAL,0.29187803789736344,0.2565165876777251,3.1372379064559937,1.6007193708740606
"['Caltech101', 'LabelMe']","['SUN09', 'VOC2007']",0.1,CORAL+NC,0.4381103772985493,0.40554539914686166,3.1270907521247864,1.5907001601110422
"['Caltech101', 'LabelMe']","['SUN09', 'VOC2007']",0.2,ERM,0.4602072448888234,0.39701401584399754,3.0782006978988647,1.5802375027741051
"['Caltech101', 'LabelMe']","['SUN09', 'VOC2007']",0.2,ERM+NC,0.4740622590259667,0.42413162705667273,3.0765738785266876,1.5871080715028076
"['Caltech101', 'LabelMe']","['SUN09', 'VOC2007']",0.2,CORAL,0.4424404189446384,0.4399756246191347,3.062117427587509,1.57936521899581
"['Caltech101', 'LabelMe']","['SUN09', 'VOC2007']",0.2,CORAL+NC,0.42410373905057314,0.39945155393053017,3.0498816072940826,1.5690288828998735
"['Caltech101', 'LabelMe']","['SUN09', 'VOC2007']",0.5,ERM,0.5393660415421182,0.49786715417428395,2.8384143981066616,1.5360495713716902
"['Caltech101', 'LabelMe']","['SUN09', 'VOC2007']",0.5,ERM+NC,0.4860509428131616,0.4448507007921999,2.8275797475468027,1.5397726297311405
"['Caltech101', 'LabelMe']","['SUN09', 'VOC2007']",0.5,CORAL,0.5137821804124754,0.5006093845216332,2.8029583909294824,1.5329851060641373
"['Caltech101', 'LabelMe']","['SUN09', 'VOC2007']",0.5,CORAL+NC,0.4683162467400816,0.4369287020109689,2.8197627175938,1.5309948274411167
"['Caltech101', 'LabelMe']","['SUN09', 'VOC2007']",0.8,ERM,0.5121700009530659,0.5018281535648994,2.617737402234759,1.4926771704199846
"['Caltech101', 'LabelMe']","['SUN09', 'VOC2007']",0.8,ERM+NC,0.5582311495129256,0.5231566118220597,2.644665336608887,1.491547776034384
"['Caltech101', 'LabelMe']","['SUN09', 'VOC2007']",0.8,CORAL,0.5514819812794765,0.5277269957343084,2.623713057381766,1.4863301663604886
"['Caltech101', 'LabelMe']","['SUN09', 'VOC2007']",0.8,CORAL+NC,0.5162440866596776,0.4753199268738574,2.6331985882350377,1.4954055473033487
"['Caltech101', 'SUN09']","['LabelMe', 'VOC2007']",0.1,ERM,0.43445404842117286,0.40580568720379145,3.1497636437416077,1.5853007930252068
"['Caltech101', 'SUN09']","['LabelMe', 'VOC2007']",0.1,ERM+NC,0.4390408196768115,0.42890995260663506,3.1438207030296326,1.5904278991591725
"['Caltech101', 'SUN09']","['LabelMe', 'VOC2007']",0.1,CORAL,0.4385055030548735,0.4120260663507109,3.146936774253845,1.5863156468892896
"['Caltech101', 'SUN09']","['LabelMe', 'VOC2007']",0.1,CORAL+NC,0.48858348084280245,0.4786729857819905,3.149685263633728,1.574578998366286
